catcher_id,jobma_catcher_company,jobma_functional,jobma_catcher_indus,jobma_catcher_title,jobma_catcher_otype,jobma_catcher_status,jobma_catcher_creation,jobma_catcher_type,is_premium,jobma_verified,subscription_status,sub_user,per_sub_user,live_interview_credit,pre_recorded_credit,ai_live_interview_credit,interview_cost_type,referral_credit,company_size,ai_live_interview
1,Jobma,,,0,,0,2023-06-21,1,0,1,1,0,100,1.0,1.0,1.0,0,0,1-25,0
92,Select Source International,,,0,1,1,2016-11-22,1,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
96,Select Source International,IT Application Programming / Maintenance,IT-Software/Software Services,0,,1,2016-01-20,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
106,Singhal System Solutions Pvt. Ltd.,IT Software- ERP / CRM,IT-Software/Software Services,0,,-1,2012-12-08,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
117,Select Source International,Human Resources,"Computer (Hardware, Software, & IT)",0,1,1,2013-09-17,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
124,Aviation Company,Airlines & Automotive,Airline,0,,1,2013-11-15,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
125,Uk Aviation Company,Airlines & Automotive,Airline,0,,1,2013-11-18,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
126,EMMINENT COMPANY,Airlines & Automotive,Airline,0,,1,2013-11-22,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
127,C H Robinson,Supply Chain,Shipping Services,0,,1,2013-11-28,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
128,Medtronic,Accounting & Finance,Accounting & Finance,0,,1,2013-12-01,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
129,Aegis Communications Group,Human Resources,BPO/KPO/ITES,0,,1,2013-12-03,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
130,"Golden Compas, LLC",Business,Business Services,0,,1,2013-12-09,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
131,"Pump and Meter Service, Inc",Sales,Construction,0,,1,2014-01-06,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
132,Vaultara ,IT & Software Development,Medical & Health/Wellbeing Services,0,,1,2014-01-06,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
133,Westridge Marketing,Business,Internet,0,,1,2014-01-06,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
134,Xigent Solutions,Professional Services,"IT Recruiting, Staffing, & Temporary Labor",0,,1,2014-01-06,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
136,"Creditor Advocates, Inc",Accounting & Finance,Accounting & Finance,0,,1,2014-01-06,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
137,Swimwear Anywhere,Marketing & Media,Clothing & Textile Manufacturing,0,,1,2014-01-07,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
138,Hennepin County WorkForce Center,Government,Government & Military,0,,1,2014-01-07,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
