catcher_id,jobma_catcher_company,jobma_functional,jobma_catcher_indus,jobma_catcher_title,jobma_catcher_otype,jobma_catcher_status,jobma_catcher_type,is_premium,jobma_verified,subscription_status,sub_user,per_sub_user,live_interview_credit,pre_recorded_credit,ai_live_interview_credit,interview_cost_type,referral_credit,company_size,ai_live_interview,days_since_creation,confirmed,number_of_logins,credit_amount,wallet_amount,plan_type,is_unlimited,trial_account_type,billing_cycle_status,subscription_amount,credit_given,currency_val,times_of_subscription,kits_count,position_created,number_of_invitations,pitchers_counts,def_interview_counts,interview_counts,ai_interview_counts
92,Select Source International,Accounting & Finance,2,0,1,1,1,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3066.0,1,1,0.0,34.0,0.0,0.0,0.0,0,0.0,0,1.0,2,2.0,825.0,7.0,17640.0,3.0,2.0,0.0
92,Select Source International,Accounting & Finance,2,0,1,1,1,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3066.0,1,1,0.0,34.0,0.0,0.0,0.0,0,0.0,0,1.0,2,2.0,825.0,7.0,17640.0,3.0,2.0,0.0
92,Select Source International,Accounting & Finance,2,0,1,1,1,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3066.0,1,1,0.0,34.0,0.0,0.0,0.0,0,199.0,0,1.0,2,2.0,825.0,7.0,17640.0,3.0,2.0,0.0
92,Select Source International,Accounting & Finance,2,0,1,1,1,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3066.0,1,1,0.0,34.0,0.0,0.0,0.0,0,199.0,0,1.0,2,2.0,825.0,7.0,17640.0,3.0,2.0,0.0
92,Select Source International,Accounting & Finance,2,0,1,1,1,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3066.0,1,1,0.0,3.0,0.0,0.0,0.0,0,0.0,0,1.0,2,2.0,825.0,7.0,17640.0,3.0,2.0,0.0
92,Select Source International,Accounting & Finance,2,0,1,1,1,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3066.0,1,1,0.0,3.0,0.0,0.0,0.0,0,0.0,0,1.0,2,2.0,825.0,7.0,17640.0,3.0,2.0,0.0
92,Select Source International,Accounting & Finance,2,0,1,1,1,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3066.0,1,1,0.0,3.0,0.0,0.0,0.0,0,199.0,0,1.0,2,2.0,825.0,7.0,17640.0,3.0,2.0,0.0
92,Select Source International,Accounting & Finance,2,0,1,1,1,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3066.0,1,1,0.0,3.0,0.0,0.0,0.0,0,199.0,0,1.0,2,2.0,825.0,7.0,17640.0,3.0,2.0,0.0
106,Singhal System Solutions Pvt. Ltd.,IT Software- ERP / CRM,IT-Software/Software Services,0,1,-1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,4511.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Aviation Company,Airlines & Automotive,Airline,0,1,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,4169.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,1.0,0.0,3.0,0.0,0.0,0.0
125,Uk Aviation Company,Airlines & Automotive,Airline,0,1,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,4166.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
