jobma_catcher_id,company_size,currency,is_premium,subscription_status,jobma_catcher_status,sub_users,wallet_amount,is_unlimited,plan_type,subscription_sum,subscription_count,invitations,pre_recorded_kit_counts,number_of_jobs_posted,pre_rec_interview_taken
2656,1-25,1,0,1,1,1.0,66666.0,1,0,15000.0,1,4.0,2.0,1.0,1.0
2935,26-100,1,0,2,1,0.0,60.0,0,1,53.1,1,0.0,0.0,0.0,0.0
2937,101-500,1,0,2,1,0.0,60.0,0,1,118.0,1,0.0,0.0,0.0,0.0
2938,26-100,1,0,1,1,0.0,50.0,0,1,15200.18,3,0.0,0.0,1.0,0.0
2939,26-100,1,0,2,1,0.0,60.0,0,1,11800.0,1,0.0,0.0,1.0,0.0
2940,26-100,1,0,2,1,0.0,60.0,0,1,11.8,1,0.0,0.0,1.0,0.0
2941,26-100,1,0,2,1,0.0,60.0,0,1,11800.0,1,0.0,0.0,1.0,0.0
2942,1-25,1,0,2,1,0.0,60.0,0,1,11.8,1,0.0,0.0,0.0,0.0
2943,1-25,1,0,2,1,0.0,60.0,0,1,11.8,1,0.0,0.0,1.0,0.0
2944,101-500,0,0,2,1,0.0,60.0,0,0,199.0,1,0.0,0.0,0.0,0.0
2945,26-100,1,0,2,1,0.0,60.0,0,1,118.0,1,0.0,0.0,0.0,0.0
2946,101-500,0,1,2,1,0.0,60.0,0,0,100.0,1,0.0,0.0,0.0,0.0
2947,500-1000,1,0,2,1,0.0,60.0,0,1,11.8,1,0.0,0.0,1.0,0.0
2948,1-25,1,0,2,1,0.0,60.0,0,1,118.0,1,0.0,0.0,0.0,0.0
2949,101-500,1,0,2,1,0.0,60.0,0,1,317.0,2,0.0,0.0,2.0,0.0
2950,101-500,0,1,2,1,0.0,60.0,0,0,100.0,1,0.0,0.0,0.0,0.0
2951,1-25,1,1,2,1,0.0,60.0,0,1,118.0,1,0.0,0.0,0.0,0.0
2952,1-25,1,1,2,1,0.0,60.0,0,1,1.0,1,0.0,0.0,0.0,0.0
2953,101-500,1,0,2,1,0.0,60.0,0,1,11.8,1,0.0,0.0,1.0,0.0
2954,26-100,1,0,2,1,0.0,60.0,0,1,11800.0,1,0.0,0.0,1.0,0.0
2955,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
2956,101-500,1,0,2,1,0.0,60.0,0,1,11800.0,1,0.0,0.0,1.0,0.0
2957,1-25,0,1,1,1,7.0,50.0,0,0,22046.0,25,481.0,8.0,36.0,40.0
2958,1-25,1,0,2,1,0.0,60.0,0,1,11.8,1,0.0,0.0,0.0,0.0
2959,26-100,1,1,2,1,0.0,60.0,0,1,317.0,2,0.0,0.0,0.0,0.0
2960,1-25,1,0,2,1,0.0,60.0,0,1,53.1,1,0.0,0.0,0.0,0.0
2961,1-25,1,0,2,1,0.0,60.0,0,1,53.1,1,0.0,0.0,0.0,0.0
2962,1-25,1,1,2,1,0.0,60.0,0,1,100.0,1,0.0,0.0,0.0,0.0
2963,1-25,0,1,2,1,0.0,60.0,0,0,100.0,1,0.0,0.0,0.0,0.0
2964,1-25,1,1,2,1,1.0,60.0,0,1,100.0,1,0.0,0.0,1.0,0.0
2966,26-100,0,1,2,1,0.0,60.0,0,0,100.0,1,0.0,0.0,1.0,0.0
2967,1-25,0,1,2,1,0.0,60.0,0,0,2000.0,1,0.0,0.0,1.0,0.0
2968,1-25,0,1,2,1,0.0,60.0,0,0,2000.0,1,0.0,0.0,1.0,0.0
2969,26-100,0,1,2,1,0.0,60.0,0,0,2000.0,1,0.0,0.0,1.0,0.0
2970,101-500,1,1,2,1,0.0,60.0,0,1,2000.0,1,0.0,0.0,1.0,0.0
2971,1-25,0,0,2,1,0.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
2972,1-25,0,0,2,1,0.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
2973,1-25,0,0,2,1,0.0,60.0,0,0,0.0,1,0.0,0.0,1.0,0.0
2974,101-500,1,1,2,1,0.0,60.0,0,1,100.0,1,0.0,0.0,1.0,0.0
2975,26-100,0,1,2,1,0.0,60.0,0,0,100.0,1,0.0,0.0,1.0,0.0
2976,26-100,1,1,2,1,0.0,60.0,0,1,100.0,1,0.0,0.0,1.0,0.0
2977,1-25,0,0,2,1,0.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
2978,1-25,0,0,2,1,0.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
2979,26-100,1,0,2,1,0.0,60.0,0,1,118.0,1,0.0,0.0,0.0,0.0
2980,1-25,0,0,2,1,0.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
2981,26-100,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
2982,1-25,1,0,2,1,0.0,60.0,0,1,118.0,1,0.0,0.0,0.0,0.0
2983,1-25,1,0,2,1,0.0,60.0,0,1,11800.0,1,0.0,0.0,0.0,0.0
2984,1-25,0,1,2,1,0.0,60.0,0,0,1.0,1,28.0,4.0,2.0,0.0
2985,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
2986,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
2987,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
2988,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
2989,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
2990,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
2991,26-100,0,1,2,1,0.0,60.0,0,0,10000.0,1,0.0,0.0,2.0,0.0
2992,26-100,1,1,2,1,0.0,60.0,0,1,10000.0,1,0.0,0.0,1.0,0.0
2993,26-100,0,1,2,1,0.0,60.0,0,0,10000.0,1,0.0,0.0,1.0,0.0
2994,1-25,0,0,2,1,0.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
2997,26-100,1,0,2,1,0.0,60.0,0,1,53.1,1,0.0,0.0,0.0,0.0
2998,101-500,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
2999,1-25,1,0,2,1,0.0,60.0,0,1,53.1,1,0.0,0.0,0.0,0.0
3000,101-500,1,0,2,1,0.0,60.0,0,1,11999.0,2,0.0,0.0,0.0,0.0
3001,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
3002,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,1.0,1.0,1.0,1.0
3003,26-100,1,0,2,1,0.0,60.0,0,1,11800.0,1,0.0,0.0,1.0,0.0
3004,26-100,1,0,2,1,0.0,60.0,0,1,53.1,1,0.0,0.0,1.0,0.0
3005,26-100,0,1,2,1,0.0,60.0,0,0,100.0,1,0.0,0.0,1.0,0.0
3006,1-25,0,0,2,1,0.0,60.0,0,0,0.0,1,0.0,0.0,1.0,0.0
3007,1-25,0,1,2,1,0.0,60.0,0,0,2.0,1,0.0,0.0,0.0,0.0
3009,1-25,0,1,2,1,0.0,60.0,0,0,100.0,1,0.0,0.0,2.0,0.0
3010,1-25,0,1,2,1,0.0,60.0,0,0,2.0,1,0.0,0.0,1.0,0.0
3011,1-25,1,0,2,1,0.0,60.0,0,1,53.1,1,0.0,0.0,0.0,0.0
3012,1-25,1,0,2,1,1.0,60.0,0,1,53.1,1,5.0,2.0,5.0,2.0
3013,500-1000,1,1,2,1,0.0,60.0,0,1,1180.0,1,0.0,0.0,0.0,0.0
3014,26-100,0,1,2,1,0.0,60.0,0,0,10.0,1,0.0,0.0,0.0,0.0
3015,101-500,1,1,2,1,0.0,60.0,0,1,1.18,1,0.0,0.0,0.0,0.0
3016,1-25,0,1,2,1,0.0,60.0,0,0,300.0,1,0.0,0.0,0.0,0.0
3017,26-100,1,1,2,1,0.0,60.0,0,1,300.0,1,0.0,0.0,0.0,0.0
3018,1-25,1,1,2,1,0.0,60.0,0,1,354.0,1,0.0,0.0,0.0,0.0
3020,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
3021,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
3022,1-25,0,0,2,1,0.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
3023,101-500,1,0,2,0,0.0,60.0,0,1,53.1,1,0.0,0.0,0.0,0.0
3024,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
3025,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
3026,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
3027,1-25,1,0,2,1,1.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
3029,1-25,1,0,2,1,0.0,60.0,0,1,197.88,4,0.0,0.0,0.0,0.0
3031,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
3032,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
3033,1-25,1,0,2,1,0.0,60.0,0,1,11.8,1,0.0,0.0,0.0,0.0
3034,101-500,1,0,2,1,0.0,60.0,0,1,11800.0,1,0.0,0.0,1.0,0.0
3035,26-100,0,1,2,1,0.0,60.0,0,0,1000.0,1,0.0,0.0,0.0,0.0
3036,26-100,0,1,2,1,0.0,60.0,0,0,100.0,1,0.0,0.0,0.0,0.0
3040,101-500,0,1,2,1,0.0,60.0,0,0,10.0,1,0.0,0.0,0.0,0.0
3043,1-25,0,1,2,1,2.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
3046,1-25,0,0,2,1,0.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
3047,1-25,0,0,2,1,1.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
3049,1-25,0,0,2,1,0.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
3050,1-25,1,0,2,1,1.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
3052,1-25,0,0,2,1,0.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
3053,26-100,0,0,2,1,0.0,60.0,0,0,199.0,1,0.0,0.0,0.0,0.0
3054,101-500,1,1,2,1,0.0,60.0,0,1,100000.0,1,0.0,0.0,0.0,0.0
3055,500-1000,1,1,2,1,0.0,60.0,0,1,1180.0,1,0.0,0.0,0.0,0.0
3056,26-100,0,1,2,1,0.0,60.0,1,0,1000.0,1,0.0,0.0,0.0,0.0
3057,101-500,1,1,2,1,0.0,60.0,0,1,100.0,1,0.0,0.0,1.0,0.0
3058,26-100,1,1,2,1,0.0,60.0,0,1,100.0,1,0.0,0.0,0.0,0.0
3059,26-100,0,0,2,1,0.0,60.0,0,0,199.0,1,0.0,0.0,0.0,0.0
3060,26-100,1,0,2,1,1.0,60.0,0,1,53.1,1,0.0,0.0,0.0,0.0
3062,1-25,0,0,2,1,1.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
3064,101-500,0,1,1,1,1.0,1860.0,0,0,1801.0,2,15.0,2.0,3.0,1.0
3065,500-1000,0,1,2,1,0.0,60.0,1,0,1.0,1,0.0,0.0,0.0,0.0
3066,500-1000,0,1,2,1,0.0,60.0,0,0,91.0,1,0.0,0.0,0.0,0.0
3067,500-1000,1,1,2,1,0.0,60.0,0,1,1.0,1,0.0,0.0,1.0,0.0
3068,1-25,0,1,2,1,0.0,60.0,0,0,1.0,1,0.0,0.0,0.0,0.0
3069,101-500,1,1,2,1,0.0,60.0,0,1,1.0,1,0.0,0.0,0.0,0.0
3070,26-100,1,1,2,1,0.0,60.0,0,1,1.18,1,1.0,1.0,1.0,0.0
3071,26-100,0,1,2,1,0.0,60.0,1,0,1000.0,1,0.0,0.0,0.0,0.0
3072,26-100,0,1,2,1,0.0,60.0,1,0,1000.0,1,0.0,0.0,0.0,0.0
3073,101-500,1,1,2,1,0.0,60.0,0,1,1000.0,1,0.0,0.0,0.0,0.0
3074,101-500,1,0,2,1,0.0,60.0,0,1,11.8,1,0.0,0.0,0.0,0.0
3075,101-500,0,1,2,1,0.0,60.0,1,0,1000.0,1,0.0,0.0,0.0,0.0
3076,26-100,0,1,2,1,1.0,60.0,1,0,10.0,1,4.0,2.0,2.0,1.0
3078,26-100,1,0,2,1,0.0,60.0,0,1,53.1,1,0.0,0.0,0.0,0.0
3079,1-25,0,1,2,1,0.0,60.0,1,0,100.0,1,0.0,0.0,0.0,0.0
3081,1-25,1,1,2,1,0.0,60.0,0,1,133.0,2,0.0,0.0,0.0,0.0
3082,1-25,0,0,2,1,0.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
3084,1-25,0,0,2,1,0.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
3087,1-25,0,0,2,1,0.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
3088,1-25,0,0,2,1,0.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
3089,1-25,1,1,2,1,2.0,60.0,0,1,1000.0,1,0.0,0.0,0.0,0.0
3091,101-500,0,1,2,1,0.0,60.0,0,0,3.0,1,0.0,0.0,1.0,0.0
3093,101-500,0,1,2,1,3.0,60.0,0,0,10.0,1,0.0,0.0,0.0,0.0
3098,101-500,0,0,2,1,1.0,60.0,0,0,199.0,1,0.0,0.0,0.0,0.0
3100,101-500,1,1,2,1,1.0,60.0,0,1,100.0,1,0.0,0.0,0.0,0.0
3102,1-25,0,1,2,1,1.0,60.0,1,0,100.0,1,0.0,0.0,0.0,0.0
3104,500-1000,1,1,2,1,0.0,60.0,0,1,1000.0,1,0.0,0.0,0.0,0.0
3105,500-1000,0,1,2,1,1.0,60.0,1,0,1000.0,1,0.0,0.0,0.0,0.0
3107,101-500,1,1,2,1,0.0,60.0,0,1,100.0,1,0.0,0.0,0.0,0.0
3109,26-100,0,1,2,1,1.0,60.0,1,0,200.0,2,0.0,0.0,0.0,0.0
3111,1-25,0,1,2,1,1.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
3113,101-500,1,1,2,1,2.0,60.0,0,1,1180.0,1,0.0,0.0,0.0,0.0
3116,101-500,0,1,2,1,1.0,60.0,1,0,1000.0,1,0.0,0.0,0.0,0.0
3118,26-100,1,0,2,1,0.0,60.0,0,1,53.1,1,0.0,1.0,1.0,0.0
3119,26-100,1,0,2,1,1.0,60.0,0,1,1.18,1,0.0,0.0,0.0,0.0
3121,26-100,1,1,2,1,3.0,60.0,0,1,1180.0,1,0.0,0.0,0.0,0.0
3125,101-500,0,1,2,1,5.0,60.0,0,0,1000.0,1,0.0,0.0,0.0,0.0
3131,26-100,0,1,2,1,7.0,60.0,1,0,1.0,1,0.0,0.0,0.0,0.0
3139,500-1000,1,1,2,1,2.0,60.0,0,1,1379.0,2,0.0,0.0,0.0,0.0
3143,1-25,0,0,2,1,1.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
3145,26-100,1,1,2,1,1.0,60.0,0,1,11.8,1,0.0,0.0,0.0,0.0
3147,1-25,0,1,2,1,1.0,60.0,0,0,199.0,1,0.0,0.0,0.0,0.0
3150,26-100,1,0,2,1,0.0,60.0,0,0,118.0,2,0.0,0.0,0.0,0.0
3152,101-500,0,0,2,1,1.0,60.0,0,0,199.0,1,0.0,0.0,0.0,0.0
3153,26-100,0,1,2,1,0.0,60.0,0,0,45.0,1,0.0,0.0,0.0,0.0
3155,1-25,0,1,2,1,0.0,60.0,1,0,45.0,1,2.0,1.0,1.0,1.0
3156,26-100,0,1,2,1,0.0,60.0,1,0,1.0,1,4.0,1.0,1.0,1.0
3157,101-500,1,1,2,1,0.0,60.0,0,1,1.0,1,0.0,0.0,1.0,0.0
3158,500-1000,0,1,2,1,0.0,60.0,0,0,123.0,1,2.0,1.0,1.0,1.0
3159,26-100,1,0,2,1,0.0,60.0,0,1,11.8,1,1.0,1.0,1.0,1.0
3160,1-25,1,1,2,1,0.0,60.0,0,1,12.0,1,1.0,1.0,1.0,1.0
3161,1-25,1,1,2,1,0.0,60.0,0,1,14.16,1,1.0,1.0,1.0,1.0
3163,1-25,0,1,2,1,0.0,60.0,0,0,231.0,3,0.0,0.0,0.0,0.0
3164,500-1000,0,1,2,1,1.0,60.0,0,0,12.0,1,0.0,0.0,0.0,0.0
3166,26-100,1,1,2,1,0.0,60.0,0,1,12.0,1,0.0,0.0,0.0,0.0
3168,1-25,1,0,2,1,0.0,60.0,0,1,11.8,1,0.0,0.0,0.0,0.0
3169,101-500,1,0,2,1,0.0,60.0,0,1,53.1,1,0.0,0.0,0.0,0.0
3173,1-25,0,1,2,1,0.0,60.0,0,0,147.0,2,0.0,0.0,0.0,0.0
3174,26-100,1,0,2,1,1.0,60.0,0,1,11800.0,1,0.0,1.0,0.0,0.0
3176,1-25,1,0,2,1,1.0,60.0,0,1,53.1,1,1.0,0.0,0.0,1.0
3178,1-25,1,0,2,1,0.0,60.0,0,1,11.8,1,0.0,0.0,0.0,0.0
3179,1-25,0,0,2,1,1.0,60.0,0,0,209.0,2,0.0,0.0,0.0,0.0
3181,1-25,0,1,2,1,0.0,60.0,0,0,100.0,1,0.0,0.0,0.0,0.0
3183,26-100,1,1,2,1,0.0,60.0,0,1,118.0,1,0.0,0.0,0.0,0.0
3184,1-25,1,1,2,1,0.0,60.0,0,1,5000.0,1,0.0,0.0,0.0,0.0
3185,1-25,1,1,2,1,0.0,60.0,1,1,5000.0,1,0.0,0.0,0.0,0.0
3186,1-25,0,1,2,1,1.0,60.0,1,0,500.0,1,0.0,0.0,0.0,0.0
3187,1-25,0,1,2,1,0.0,60.0,1,0,5000.0,1,0.0,0.0,0.0,0.0
3188,1-25,1,1,2,1,0.0,60.0,1,1,5000.0,1,0.0,0.0,0.0,0.0
3189,26-100,1,1,2,1,0.0,60.0,1,1,5900.0,1,0.0,0.0,0.0,0.0
3194,26-100,0,1,2,1,1.0,60.0,1,0,109.0,1,0.0,0.0,0.0,0.0
3196,1-25,0,1,2,1,0.0,60.0,0,0,100.0,1,0.0,0.0,0.0,0.0
3197,26-100,0,1,2,1,0.0,60.0,1,0,100.0,1,0.0,0.0,0.0,0.0
3198,101-500,1,1,2,1,2.0,60.0,1,1,100.0,1,0.0,0.0,0.0,0.0
