catcher_id,jobma_catcher_status,jobma_catcher_type,is_premium,subscription_status,sub_user,per_sub_user,subscription_type,referral_credit,company_size,ai_live_interview,days_since_creation
92,1.0,1,1,2,105,100,0,0,1-25,0,3072
106,0.0,0,1,2,105,100,0,0,1-25,0,4517
124,1.0,0,1,2,105,100,0,0,1-25,0,4175
125,1.0,0,1,2,105,100,0,0,1-25,0,4172
126,1.0,0,1,2,105,100,0,0,1-25,0,4168
127,1.0,0,1,2,105,100,0,0,1-25,0,4162
128,1.0,0,1,2,105,100,0,0,1-25,0,4159
129,1.0,0,1,2,105,100,0,0,1-25,0,4157
130,1.0,0,1,2,105,100,0,0,1-25,0,4151
131,1.0,0,1,2,105,100,0,0,1-25,0,4123
132,1.0,0,1,2,105,100,0,0,1-25,0,4123
133,1.0,0,1,2,105,100,0,0,1-25,0,4123
134,1.0,0,1,2,105,100,0,0,1-25,0,4123
136,1.0,0,1,2,105,100,0,0,1-25,0,4123
137,1.0,0,1,2,105,100,0,0,1-25,0,4122
138,1.0,0,1,2,105,100,0,0,1-25,0,4122
143,1.0,0,1,2,105,100,0,0,1-25,0,4115
148,1.0,0,1,2,105,100,0,0,1-25,0,4100
151,0.0,0,1,2,105,100,0,0,1-25,0,4099
159,0.0,0,1,2,105,100,0,0,1-25,0,4094
252,1.0,0,1,2,105,100,0,0,1-25,0,3995
256,0.0,0,1,2,105,100,0,0,1-25,0,3995
260,0.0,0,1,2,105,100,0,0,1-25,0,3985
262,0.0,0,1,2,105,100,0,0,1-25,0,3977
263,1.0,0,1,2,105,100,0,0,1-25,0,3975
264,0.0,0,1,2,105,100,0,0,1-25,0,3972
265,1.0,0,1,2,105,100,0,0,1-25,0,3972
266,0.0,0,1,2,105,100,0,0,1-25,0,3959
267,0.0,0,1,2,105,100,0,0,1-25,0,3959
268,0.0,0,1,2,105,100,0,0,1-25,0,3958
269,0.0,0,1,2,105,100,0,0,1-25,0,3957
270,0.0,0,1,2,105,100,0,0,1-25,0,3957
271,0.0,0,1,2,105,100,0,0,1-25,0,3956
272,1.0,0,1,2,105,100,0,0,1-25,0,3956
273,0.0,0,1,2,105,100,0,0,1-25,0,3955
274,0.0,0,1,2,105,100,0,0,1-25,0,3954
275,0.0,0,1,2,105,100,0,0,1-25,0,3954
276,0.0,0,1,2,105,100,0,0,1-25,0,3953
277,0.0,0,1,2,105,100,0,0,1-25,0,3952
278,0.0,0,1,2,105,100,0,0,1-25,0,3951
279,0.0,0,1,2,105,100,0,0,1-25,0,3947
280,0.0,0,1,2,105,100,0,0,1-25,0,3947
281,0.0,0,1,2,105,100,0,0,1-25,0,3947
282,0.0,0,1,2,105,100,0,0,1-25,0,3947
283,1.0,0,1,2,105,100,0,0,1-25,0,3942
284,0.0,0,1,2,105,100,0,0,1-25,0,3939
286,1.0,0,1,2,105,100,0,0,1-25,0,3938
288,1.0,0,1,2,105,100,0,0,1-25,0,3923
294,1.0,0,1,2,105,100,0,0,1-25,0,3896
297,0.0,0,1,2,105,100,0,0,1-25,0,3883
298,0.0,0,1,2,105,100,0,0,1-25,0,3883
299,1.0,0,1,2,105,100,0,0,1-25,0,3878
303,0.0,0,1,2,105,100,0,0,1-25,0,3842
307,0.0,0,1,2,105,100,0,0,1-25,0,3835
308,0.0,0,1,2,105,100,0,0,1-25,0,3834
309,0.0,0,1,2,105,100,0,0,1-25,0,3828
310,0.0,0,1,2,105,100,0,0,1-25,0,3811
313,0.0,0,1,2,105,100,0,0,1-25,0,3766
314,1.0,0,1,2,105,100,0,0,1-25,0,3761
315,0.0,0,1,2,105,100,0,0,1-25,0,3758
318,0.0,0,1,2,105,100,0,0,1-25,0,3757
