catcher_id,interview_counts
446,1
720,1
746,10
908,14
922,2
925,2
928,5
924,148
92,2
984,3
993,3
950,4
1016,1
1000,3
991,6
949,1
927,1
1209,45
1217,4
1235,4
1237,2
1241,1
1220,3
1223,1
1593,6
1520,11
1369,4
1598,6
1371,18
1372,94
1627,1
1599,7
1404,1
1631,2
1374,1
1584,9
1592,7
1632,2
1608,4
1607,1
1602,3
1582,1
1412,16
1637,1
1590,2
1650,2
1684,5
1670,3
1692,21
1633,1
1710,1
1696,4
1775,4
1690,3
1772,1
1777,2
1698,1
1712,2
1793,4
1802,1
1914,1
1925,2
2017,50
2133,2
2046,10
2187,2
2169,17
2233,3
2183,1
2196,1
2251,1
2453,2
2551,1
2534,3
2634,1
2672,1
2673,14
1219,2
2799,2
2451,5
2800,1
2801,1
2803,7
2802,23
2335,47
2840,1
2871,2
2889,8
2893,2
2895,1
2334,37
1839,11
3394,8
3206,1
2957,4
2897,1
3678,18
3908,1
3679,1
3970,1
2926,1
4211,1
4227,1
4357,1
4244,2
4432,2
4525,1
4902,2
7151,150
1873,113
8464,2
8565,57
8597,24
8713,10
8891,7
9333,1
6184,1
8873,1
9315,6
9415,3
6543,3
