catcher_id,number_of_pitcher_invitations
0,34
92,7
446,1
746,8
872,4
908,42
922,2
924,2811
925,7
926,1
928,9
930,2
940,1
984,8
987,1
991,11
995,1
1026,1
1033,1
1038,2
1209,116
1217,46
1219,12
1327,1
1371,244
1372,327
1374,12
1410,2
1412,290
1520,63
1582,11
1584,18
1587,2
1590,6
1591,8
1592,13
1598,14
1599,168
1602,11
1607,2
1608,28
1622,2
1623,1
1626,2
1631,5
1633,6
1637,29
1648,1
1650,18
1652,6
1654,3
1655,12
1656,11
1657,17
1660,1
1662,1
1669,2
1670,9
1674,2
1676,2
1683,31
1684,36
1686,1
1687,7
1690,12
1692,1245
1696,90
1697,10
1698,5
1700,1
1702,1
1706,1
1708,4
1710,12
1712,10
1714,1
1722,2
1724,5
1725,3
1726,4
1730,67
1736,2
1748,11
1749,1
1766,2
1767,1
1769,22
1772,4
1774,1
1775,7
1777,2
1787,1
1793,4
1794,1
1795,2
1796,7
1798,1
1802,10
1828,124
1829,9
1834,1
1835,1
1839,1397
1840,6
1852,9
1856,10
1857,2
1859,4
1861,2
1870,14
1871,3
1873,2539
1874,5
1875,11
1878,1
1882,5
1891,3
1894,1
1909,5
1914,6
1918,7
1923,2
1925,98
1940,12
1941,1
1944,2
1969,11
2009,3
2012,3
2013,6
2014,2
2017,69
2018,2
2021,61
2022,18
2025,2
2031,4
2045,12
2046,277
2048,4
2052,1
2058,4
2111,3
2133,21
2143,5
2144,3
2146,3
2149,1
2150,1
2151,5
2153,10
2155,167
2157,4
2168,1
2169,1820
2173,2
2183,64
2187,12
2190,1
2195,2
2196,17
2216,6
2218,2
2233,6
2247,5
2251,219
2255,2
2266,2624
2269,2
2270,1
2274,134
2276,84
2277,24
2295,2
2304,3
2312,8
2326,3
2328,1
2334,1731
2335,3396
2347,2
2365,10
2394,2
2409,1
2412,66
2414,3
2416,1
2445,1
2451,344
2452,8
2453,19
2454,1
2456,3
2463,4
2488,1
2523,2
2525,4
2534,23
2549,4
2551,1
2554,1
2569,3
2570,3
2590,3
2604,10
2625,6
2626,7
2627,7
2628,2
2633,54
2634,16
2635,1
2638,1
2639,2
2672,5
2673,556
2676,34
2683,2
2685,2
2688,8
2689,1
2695,1
2699,1
2702,3
2727,3
2733,1
2734,2
2760,19
2799,3
2800,1
2801,1
2802,743
2803,42
2827,2
2830,2
2832,3
2833,1
2840,4
2843,1
2850,16
2863,103
2867,17
2868,3
2870,3
2871,472
2874,31
2876,15
2882,198
2889,56
2893,16
2895,13
2897,4
2907,1
2917,2
2919,7
2923,3
2926,11
2957,479
2984,28
2995,1
3002,1
3008,1
3012,5
3064,15
3070,1
3076,4
3085,1
3155,2
3156,4
3158,2
3159,1
3160,1
3161,1
3171,1
3176,1
3177,2
3206,18
3225,1
3238,1
3264,3
3265,2
3280,4
3291,3
3293,1
3303,1
3305,3
3317,178
3324,1
3334,6
3338,1
3365,3
3384,5
3394,53
3411,3
3415,2
3417,4
3423,4
3477,1
3499,6
3502,6
3510,2
3511,1
3548,1
3584,2
3633,1
3635,3
3678,485
3679,25
3686,1
3724,16
3784,1
3861,5
3865,2
3881,159
3897,3
3902,1
3908,2
3960,196
3961,49
3964,3
3965,49
3966,51
3967,2
3970,1
4018,2
4065,1
4067,1
4068,1
4069,1
4132,292
4133,1
4186,1
4211,4
4227,1
4244,10
4246,1
4250,14
4251,1
4253,1
4254,1
4256,1
4266,10
4276,1
4300,1
4308,1
4320,3
4334,98
4342,3
4354,199
4355,1
4357,3
4364,761
4365,11
4374,343
4378,98
4379,102
4380,2
4391,5
4405,1
4411,1
4412,1
4413,2
4432,261
4442,52
4466,3
4481,1
4525,5
4527,3
4549,1
4634,10
4646,1
4656,10
4711,6
4719,2
4736,39
4766,1
4777,1
4779,1
4785,1
4789,17
4794,21
4798,2
4874,12
4875,3
4902,28
4910,4
4978,2
5000,3
5002,11
5014,2
5031,1
5048,2
5055,1
5057,1
5058,52
5073,5
5085,1
5101,1
5106,1
5109,4
5112,1
5123,3
5127,9
5131,2
5148,2
5150,1
5152,1
5180,2
5192,2
5201,19
5249,1
5251,1
5252,1
5281,4
5291,1
5292,1
5293,1
5295,9
5333,2
5335,519
5337,7
5341,3
5345,2
5346,1
5355,1
5356,1
5358,1
5374,1
5379,5
5380,6
5382,11
5389,9
5394,3
5396,1
5397,37
5401,5
5403,16
5404,11
5409,1
