id,catcher_id,credit_amount,wallet_amount,subscription_type,plan_type,is_unlimited,premium_storage,trial_account_type,gst_code,billing_cycle,billing_cycle_status,created_at,updated_at
1,669,,0.0,0,0,0,0,,,,0,2017-11-03 12:10:27,2017-11-03 12:10:27
2,92,,34.0,0,0,0,0,0.0,,,0,2017-11-03 12:10:27,2020-02-20 07:10:00
3,898,,0.0,0,0,0,0,,,,0,2017-11-03 04:36:27,2017-11-03 04:36:27
4,912,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
5,92,,3.0,0,0,0,0,0.0,,,0,2017-11-03 14:08:57,2020-02-20 07:10:00
6,898,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
15,106,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
31,124,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
32,125,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
33,126,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
34,127,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
35,128,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
36,129,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
37,130,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
38,131,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
39,132,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
40,133,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
41,134,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
42,135,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
43,136,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
44,137,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
45,138,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
46,139,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
47,141,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
49,143,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
50,144,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
54,148,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
57,151,,11107.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2018-10-10 02:52:36
65,159,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
106,252,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
107,256,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
108,260,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
109,262,,0.0,0,0,0,0,,,,0,2017-11-03 14:08:57,2017-11-03 14:08:57
