catcher_id,live_interviews_counts
92,2
446,1
720,1
746,10
908,14
922,2
924,148
925,2
927,1
928,5
949,1
950,4
984,3
991,6
993,3
1000,3
1016,1
1209,45
1217,4
1219,2
1220,3
1223,1
1235,4
1237,2
1241,1
1369,4
1371,18
1372,94
1374,1
1404,1
1412,16
1520,11
1582,1
1584,9
1590,2
1592,7
1593,6
1598,6
1599,7
1602,3
1607,1
1608,4
1627,1
1631,2
1632,2
1633,1
1637,1
1650,2
1670,3
1684,5
1690,3
1692,21
1696,4
1698,1
1710,1
1712,2
1772,1
1775,4
1777,2
1793,4
1802,1
1839,11
1873,113
1914,1
1925,2
2017,50
2046,10
2133,2
2169,17
2183,1
2187,2
2196,1
2233,3
2251,1
2334,37
2335,47
2451,5
2453,2
2534,3
2551,1
2634,1
2672,1
2673,14
2799,2
2800,1
2801,1
2802,23
2803,7
2840,1
2871,2
2889,8
2893,2
2895,1
2897,1
2926,1
2957,4
3206,1
3394,8
3678,18
3679,1
3908,1
3970,1
4211,1
4227,1
4244,2
4357,1
4432,2
4525,1
4902,2
6184,1
6543,3
7151,150
8464,2
8565,57
8597,24
8713,10
8873,1
8891,7
9315,6
9333,1
9415,3
