jobma_catcher_id,company_size,is_premium,subscription_status,jobma_catcher_status,sub_users,wallet_amount,is_unlimited,plan_type,subscription_sum,subscription_count,invitations,pre_recorded_kit_counts,number_of_jobs_posted,pre_rec_interview_taken,days_since_login
2656,1-25,0,1,1,1,66666.0,1,0,176.5,1,4,2,1,1,381-440
2935,26-100,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,441-510
2937,101-500,0,2,1,0,60.0,0,1,1.4,1,0,0,0,0,441-510
2938,26-100,0,1,1,0,50.0,0,1,178.8,3,0,0,1,0,441-510
2939,26-100,0,2,1,0,60.0,0,1,138.8,1,0,0,1,0,1641-5000
2940,26-100,0,2,1,0,60.0,0,1,0.1,1,0,0,1,0,1641-5000
2941,26-100,0,2,1,0,60.0,0,1,138.8,1,0,0,1,0,1641-5000
2942,1-25,0,2,1,0,60.0,0,1,0.1,1,0,0,0,0,1641-5000
2943,1-25,0,2,1,0,60.0,0,1,0.1,1,0,0,1,0,1641-5000
2944,101-500,0,2,1,0,60.0,0,0,2.3,1,0,0,0,0,1641-5000
2945,26-100,0,2,1,0,60.0,0,1,1.4,1,0,0,0,0,1641-5000
2946,101-500,1,2,1,0,60.0,0,0,1.2,1,0,0,0,0,1641-5000
2947,500-1000,0,2,1,0,60.0,0,1,0.1,1,0,0,1,0,1641-5000
2948,1-25,0,2,1,0,60.0,0,1,1.4,1,0,0,0,0,1641-5000
2949,101-500,0,2,1,0,60.0,0,1,3.7,2,0,0,2,0,0-323
2950,101-500,1,2,1,0,60.0,0,0,1.2,1,0,0,0,0,1641-5000
2951,1-25,1,2,1,0,60.0,0,1,1.4,1,0,0,0,0,1641-5000
2952,1-25,1,2,1,0,60.0,0,1,0.0,1,0,0,0,0,1641-5000
2953,101-500,0,2,1,0,60.0,0,1,0.1,1,0,0,1,0,1641-5000
2954,26-100,0,2,1,0,60.0,0,1,138.8,1,0,0,1,0,1641-5000
2955,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,0-323
2956,101-500,0,2,1,0,60.0,0,1,138.8,1,0,0,1,0,1641-5000
2957,1-25,1,1,1,7,50.0,0,0,259.3,25,481,8,36,40,441-510
2958,1-25,0,2,1,0,60.0,0,1,0.1,1,0,0,0,0,0-323
2959,26-100,1,2,1,0,60.0,0,1,3.7,2,0,0,0,0,1641-5000
2960,1-25,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,1641-5000
2961,1-25,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,0-323
2962,1-25,1,2,1,0,60.0,0,1,1.2,1,0,0,0,0,1641-5000
2963,1-25,1,2,1,0,60.0,0,0,1.2,1,0,0,0,0,1641-5000
2964,1-25,1,2,1,1,60.0,0,1,1.2,1,0,0,1,0,1641-5000
2966,26-100,1,2,1,0,60.0,0,0,1.2,1,0,0,1,0,1641-5000
2967,1-25,1,2,1,0,60.0,0,0,23.5,1,0,0,1,0,1641-5000
