jobma_catcher_id,company_size,is_premium,subscription_status,jobma_catcher_status,sub_users,wallet_amount,is_unlimited,plan_type,subscription_sum,subscription_count,invitations,pre_recorded_kit_counts,number_of_jobs_posted,pre_rec_interview_taken,days_since_login
2656,1-25,0,1,1,1,66666.0,1,0,176.5,1,4,2,1,1,420
2935,26-100,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,441
2937,101-500,0,2,1,0,60.0,0,1,1.4,1,0,0,0,0,441
2938,26-100,0,1,1,0,50.0,0,1,178.8,3,0,0,1,0,441
2939,26-100,0,2,1,0,60.0,0,1,138.8,1,0,0,1,0,1796
2940,26-100,0,2,1,0,60.0,0,1,0.1,1,0,0,1,0,1796
2941,26-100,0,2,1,0,60.0,0,1,138.8,1,0,0,1,0,1795
2942,1-25,0,2,1,0,60.0,0,1,0.1,1,0,0,0,0,1795
2943,1-25,0,2,1,0,60.0,0,1,0.1,1,0,0,1,0,1795
2944,101-500,0,2,1,0,60.0,0,0,2.3,1,0,0,0,0,1795
2945,26-100,0,2,1,0,60.0,0,1,1.4,1,0,0,0,0,1795
2946,101-500,1,2,1,0,60.0,0,0,1.2,1,0,0,0,0,1795
2947,500-1000,0,2,1,0,60.0,0,1,0.1,1,0,0,1,0,1795
2948,1-25,0,2,1,0,60.0,0,1,1.4,1,0,0,0,0,1795
2949,101-500,0,2,1,0,60.0,0,1,3.7,2,0,0,2,0,0
2950,101-500,1,2,1,0,60.0,0,0,1.2,1,0,0,0,0,1795
2951,1-25,1,2,1,0,60.0,0,1,1.4,1,0,0,0,0,1795
2952,1-25,1,2,1,0,60.0,0,1,0.0,1,0,0,0,0,1795
2953,101-500,0,2,1,0,60.0,0,1,0.1,1,0,0,1,0,1794
2954,26-100,0,2,1,0,60.0,0,1,138.8,1,0,0,1,0,1794
2955,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,0
2956,101-500,0,2,1,0,60.0,0,1,138.8,1,0,0,1,0,1793
2957,1-25,1,1,1,7,50.0,0,0,259.3,25,481,8,36,40,466
2958,1-25,0,2,1,0,60.0,0,1,0.1,1,0,0,0,0,0
2959,26-100,1,2,1,0,60.0,0,1,3.7,2,0,0,0,0,1793
2960,1-25,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,1793
2961,1-25,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,0
2962,1-25,1,2,1,0,60.0,0,1,1.2,1,0,0,0,0,1793
2963,1-25,1,2,1,0,60.0,0,0,1.2,1,0,0,0,0,1793
2964,1-25,1,2,1,1,60.0,0,1,1.2,1,0,0,1,0,1793
2966,26-100,1,2,1,0,60.0,0,0,1.2,1,0,0,1,0,1793
2967,1-25,1,2,1,0,60.0,0,0,23.5,1,0,0,1,0,1792
2968,1-25,1,2,1,0,60.0,0,0,23.5,1,0,0,1,0,1792
2969,26-100,1,2,1,0,60.0,0,0,23.5,1,0,0,1,0,1792
2970,101-500,1,2,1,0,60.0,0,1,23.5,1,0,0,1,0,1792
2971,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,0
2972,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,0
2973,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,1,0,1792
2974,101-500,1,2,1,0,60.0,0,1,1.2,1,0,0,1,0,1792
2975,26-100,1,2,1,0,60.0,0,0,1.2,1,0,0,1,0,1792
2976,26-100,1,2,1,0,60.0,0,1,1.2,1,0,0,1,0,1792
2977,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,1792
2978,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,1789
2979,26-100,0,2,1,0,60.0,0,1,1.4,1,0,0,0,0,1789
2980,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,1789
2981,26-100,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1789
2982,1-25,0,2,1,0,60.0,0,1,1.4,1,0,0,0,0,0
2983,1-25,0,2,1,0,60.0,0,1,138.8,1,0,0,0,0,1353
2984,1-25,1,2,1,0,60.0,0,0,0.0,1,28,4,2,0,1740
2985,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,0
2986,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,0
2987,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,0
2988,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,0
2989,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,0
2990,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,0
2991,26-100,1,2,1,0,60.0,0,0,117.6,1,0,0,2,0,1786
2992,26-100,1,2,1,0,60.0,0,1,117.6,1,0,0,1,0,1787
2993,26-100,1,2,1,0,60.0,0,0,117.6,1,0,0,1,0,1787
2994,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,1787
2997,26-100,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,1787
2998,101-500,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1780
2999,1-25,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,1787
3000,101-500,0,2,1,0,60.0,0,1,141.10000000000002,2,0,0,0,0,0
3001,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1786
3002,1-25,0,2,1,0,60.0,0,1,0.3,1,1,1,1,1,0
3003,26-100,0,2,1,0,60.0,0,1,138.8,1,0,0,1,0,1785
3004,26-100,0,2,1,0,60.0,0,1,0.6,1,0,0,1,0,0
3005,26-100,1,2,1,0,60.0,0,0,1.2,1,0,0,1,0,0
3006,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,1,0,1785
3007,1-25,1,2,1,0,60.0,0,0,0.0,1,0,0,0,0,0
3009,1-25,1,2,1,0,60.0,0,0,1.2,1,0,0,2,0,1785
3010,1-25,1,2,1,0,60.0,0,0,0.0,1,0,0,1,0,1785
3011,1-25,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,1784
3012,1-25,0,2,1,1,60.0,0,1,0.6,1,5,2,5,2,1764
3013,500-1000,1,2,1,0,60.0,0,1,13.9,1,0,0,0,0,0
3014,26-100,1,2,1,0,60.0,0,0,0.1,1,0,0,0,0,1784
3015,101-500,1,2,1,0,60.0,0,1,0.0,1,0,0,0,0,1784
3016,1-25,1,2,1,0,60.0,0,0,3.5,1,0,0,0,0,1784
3017,26-100,1,2,1,0,60.0,0,1,3.5,1,0,0,0,0,1784
3018,1-25,1,2,1,0,60.0,0,1,4.2,1,0,0,0,0,1774
3020,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1783
3021,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1783
3022,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,1782
3023,101-500,0,2,0,0,60.0,0,1,0.6,1,0,0,0,0,1781
3024,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1780
3025,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1780
3026,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1780
3027,1-25,0,2,1,1,60.0,0,1,0.3,1,0,0,0,0,1780
3029,1-25,0,2,1,0,60.0,0,1,2.3,4,0,0,0,0,1780
3031,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1779
3032,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1779
3033,1-25,0,2,1,0,60.0,0,1,0.1,1,0,0,0,0,0
3034,101-500,0,2,1,0,60.0,0,1,138.8,1,0,0,1,0,1775
3035,26-100,1,2,1,0,60.0,0,0,11.8,1,0,0,0,0,1775
3036,26-100,1,2,1,0,60.0,0,0,1.2,1,0,0,0,0,1775
3040,101-500,1,2,1,0,60.0,0,0,0.1,1,0,0,0,0,1774
3043,1-25,1,2,1,2,60.0,0,0,0.0,1,0,0,0,0,1773
3046,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,0
3047,1-25,0,2,1,1,60.0,0,0,0.0,1,0,0,0,0,1773
3049,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,0
3050,1-25,0,2,1,1,60.0,0,0,0.0,1,0,0,0,0,1773
3052,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,0
3053,26-100,0,2,1,0,60.0,0,0,2.3,1,0,0,0,0,0
3054,101-500,1,2,1,0,60.0,0,1,1176.5,1,0,0,0,0,1772
3055,500-1000,1,2,1,0,60.0,0,1,13.9,1,0,0,0,0,1772
3056,26-100,1,2,1,0,60.0,1,0,11.8,1,0,0,0,0,1772
3057,101-500,1,2,1,0,60.0,0,1,1.2,1,0,0,1,0,1772
3058,26-100,1,2,1,0,60.0,0,1,1.2,1,0,0,0,0,1772
3059,26-100,0,2,1,0,60.0,0,0,2.3,1,0,0,0,0,1772
3060,26-100,0,2,1,1,60.0,0,1,0.6,1,0,0,0,0,1772
3062,1-25,0,2,1,1,60.0,0,0,0.0,1,0,0,0,0,1772
3064,101-500,1,1,1,1,1860.0,0,0,21.2,2,15,2,3,1,603
3065,500-1000,1,2,1,0,60.0,1,0,0.0,1,0,0,0,0,1772
3066,500-1000,1,2,1,0,60.0,0,0,1.1,1,0,0,0,0,1772
3067,500-1000,1,2,1,0,60.0,0,1,0.0,1,0,0,1,0,0
3068,1-25,1,2,1,0,60.0,0,0,0.0,1,0,0,0,0,1772
3069,101-500,1,2,1,0,60.0,0,1,0.0,1,0,0,0,0,1772
3070,26-100,1,2,1,0,60.0,0,1,0.0,1,1,1,1,0,1772
3071,26-100,1,2,1,0,60.0,1,0,11.8,1,0,0,0,0,1772
3072,26-100,1,2,1,0,60.0,1,0,11.8,1,0,0,0,0,1772
3073,101-500,1,2,1,0,60.0,0,1,11.8,1,0,0,0,0,1772
3074,101-500,0,2,1,0,60.0,0,1,0.1,1,0,0,0,0,1772
3075,101-500,1,2,1,0,60.0,1,0,11.8,1,0,0,0,0,1772
3076,26-100,1,2,1,1,60.0,1,0,0.1,1,4,2,2,1,1771
3078,26-100,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,1771
3079,1-25,1,2,1,0,60.0,1,0,1.2,1,0,0,0,0,1771
3081,1-25,1,2,1,0,60.0,0,1,1.6,2,0,0,0,0,0
3082,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,0
3084,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,0
3087,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,1771
3088,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,0
3089,1-25,1,2,1,2,60.0,0,1,11.8,1,0,0,0,0,1771
3091,101-500,1,2,1,0,60.0,0,0,0.0,1,0,0,1,0,0
3093,101-500,1,2,1,3,60.0,0,0,0.1,1,0,0,0,0,0
3098,101-500,0,2,1,1,60.0,0,0,2.3,1,0,0,0,0,1771
3100,101-500,1,2,1,1,60.0,0,1,1.2,1,0,0,0,0,1771
3102,1-25,1,2,1,1,60.0,1,0,1.2,1,0,0,0,0,1771
3104,500-1000,1,2,1,0,60.0,0,1,11.8,1,0,0,0,0,1771
3105,500-1000,1,2,1,1,60.0,1,0,11.8,1,0,0,0,0,1771
3107,101-500,1,2,1,0,60.0,0,1,1.2,1,0,0,0,0,1771
