catcher_id,number_of_invitations
0.0,1
92.0,17640
96.0,3
97.0,2
99.0,67
124.0,3
126.0,2
128.0,1
129.0,1
138.0,4
148.0,4
151.0,4
191.0,3
194.0,38
195.0,90
197.0,34
198.0,134
200.0,14
201.0,21
202.0,37
203.0,1
204.0,31
207.0,85
209.0,13
210.0,11
211.0,29
212.0,13
213.0,1
214.0,11
216.0,3
217.0,3
218.0,3
219.0,223
220.0,30
221.0,6
223.0,1620
224.0,905
225.0,715
226.0,512
227.0,214
228.0,6
229.0,777
230.0,602
231.0,2302
232.0,88
233.0,189
234.0,522
240.0,12
241.0,20
242.0,10
252.0,4
261.0,80
286.0,7
289.0,75
291.0,1948
292.0,70
293.0,742
300.0,891
301.0,169
302.0,477
304.0,6
317.0,170
327.0,643
365.0,28
367.0,102
369.0,2
370.0,1
374.0,22
385.0,1
404.0,2
407.0,16
425.0,1
426.0,42
446.0,794
454.0,32
469.0,2
478.0,5
487.0,7
490.0,2
521.0,4
534.0,2
536.0,6
537.0,11
538.0,13
539.0,19
540.0,5
542.0,16
543.0,3
550.0,2
557.0,17
558.0,8
564.0,56
576.0,1
577.0,17
589.0,1
613.0,7
618.0,1
622.0,5
624.0,2
629.0,4
639.0,1
662.0,7
663.0,2
665.0,2
666.0,13
672.0,1
676.0,1
677.0,10
679.0,1
684.0,7
692.0,3
695.0,1
711.0,2
712.0,24
713.0,6
714.0,12
715.0,2
716.0,9
717.0,2
718.0,15
719.0,158
720.0,16
721.0,8
722.0,45
723.0,22
726.0,1
746.0,26
747.0,7
752.0,11
770.0,5
781.0,2
791.0,2
800.0,2
872.0,7
899.0,1
903.0,1
904.0,1
905.0,2
908.0,79
910.0,3
920.0,5
922.0,21
924.0,1663
925.0,9
926.0,2
927.0,14
928.0,9
929.0,2
930.0,2
933.0,6
934.0,1
935.0,3
936.0,1
937.0,5
940.0,1
943.0,7
984.0,17
987.0,4
991.0,11
1009.0,8
1013.0,23
1023.0,2
1026.0,3
1033.0,6
1038.0,2
1040.0,3
1045.0,1
1047.0,1
1048.0,2
1049.0,3
1050.0,1
1057.0,2
1058.0,1
1059.0,1
1090.0,6
1148.0,1
1209.0,277
1215.0,3
1217.0,22
1219.0,4
1220.0,12
1222.0,2
1228.0,1
1233.0,2
1235.0,29
1237.0,1
1241.0,1
1254.0,6
1268.0,9
1269.0,5
1271.0,8
1273.0,22
1278.0,2
1307.0,1
1347.0,15
1369.0,13
1371.0,166
1372.0,249
1374.0,10
1395.0,2
1396.0,1
1402.0,1
1404.0,6
1407.0,1
1410.0,2
1412.0,145
1430.0,7
1449.0,2
1486.0,1
1487.0,5
1520.0,80
1521.0,4
1523.0,3
1525.0,40
1538.0,2
1547.0,7
1548.0,7
1582.0,11
1584.0,17
1587.0,5
1590.0,1
1591.0,5
1592.0,10
1593.0,9
1598.0,25
1599.0,71
1600.0,1
1601.0,1
1602.0,5
1607.0,9
1608.0,13
1625.0,4
1626.0,3
1627.0,7
1629.0,1
1631.0,3
1633.0,6
1636.0,2
1637.0,3
1648.0,1
1650.0,9
1652.0,2
1654.0,3
1655.0,3
1656.0,2
1657.0,9
1658.0,2
1662.0,1
1670.0,5
1674.0,1
1676.0,1
1683.0,4
1684.0,17
1690.0,8
1692.0,467
1696.0,45
1697.0,8
1698.0,2
1700.0,1
1702.0,1
1706.0,1
1708.0,3
1710.0,10
1712.0,2
1714.0,2
1722.0,1
1724.0,5
1725.0,1
1726.0,4
1730.0,19
1748.0,11
1766.0,1
1767.0,1
1769.0,11
1772.0,2
1775.0,6
1777.0,2
1793.0,4
1795.0,1
1798.0,1
1802.0,4
1828.0,46
1829.0,3
1835.0,1
1839.0,288
1840.0,3
1852.0,2
1856.0,1
1857.0,1
1870.0,1
1873.0,728
1875.0,2
1891.0,2
1894.0,1
1909.0,1
1911.0,1
1914.0,1
1918.0,3
1925.0,31
1940.0,14
1944.0,1
2009.0,1
2012.0,1
2013.0,1
2014.0,1
2017.0,57
2018.0,2
2021.0,45
2022.0,15
2025.0,2
2031.0,1
2045.0,3
2046.0,67
2048.0,5
2052.0,1
2055.0,1
2058.0,3
2111.0,1
2133.0,11
2143.0,3
2144.0,3
2149.0,1
2150.0,1
2151.0,3
2153.0,2
2155.0,75
2157.0,1
2168.0,1
2169.0,533
2183.0,20
2187.0,6
2190.0,1
2196.0,7
2216.0,4
2218.0,2
2233.0,6
2247.0,1
2251.0,5
2255.0,1
2266.0,3
2274.0,66
2276.0,33
2277.0,9
2295.0,1
2304.0,2
2312.0,3
2326.0,3
2328.0,1
2334.0,632
2335.0,895
2365.0,7
2409.0,1
2412.0,39
2414.0,1
2445.0,1
2451.0,127
2452.0,4
2453.0,7
2456.0,1
2463.0,2
2488.0,1
2523.0,1
2525.0,2
2534.0,11
2549.0,4
2551.0,1
2569.0,1
2570.0,2
2590.0,1
2625.0,4
2626.0,3
2627.0,3
2628.0,2
2634.0,8
2635.0,1
2639.0,1
2672.0,5
2673.0,186
2676.0,15
2683.0,1
2685.0,2
2688.0,6
2689.0,1
2695.0,1
2699.0,1
2702.0,1
2727.0,3
2734.0,1
2760.0,16
2799.0,3
2800.0,1
2801.0,1
2802.0,133
2803.0,32
2827.0,1
2830.0,1
2832.0,3
2833.0,1
2840.0,4
2843.0,1
2850.0,6
2868.0,3
2870.0,1
2871.0,4
2874.0,14
2876.0,2
2882.0,1
2889.0,18
2893.0,5
2895.0,2
2897.0,2
2917.0,2
2919.0,2
2923.0,1
2926.0,4
2949.0,1
2957.0,47
2995.0,1
3002.0,1
3012.0,2
3064.0,1
3076.0,1
3155.0,1
3156.0,1
3158.0,1
3159.0,1
3160.0,1
3161.0,1
3171.0,1
3176.0,1
3177.0,1
3206.0,3
3225.0,1
3238.0,1
3264.0,1
3265.0,1
3280.0,2
3291.0,1
3293.0,1
3303.0,1
3305.0,2
3334.0,1
3394.0,9
3417.0,1
3499.0,2
3502.0,1
3510.0,1
3511.0,1
3584.0,1
3633.0,1
3635.0,3
3678.0,221
3679.0,7
3724.0,9
3784.0,1
3861.0,4
3881.0,2
3897.0,1
3908.0,2
3970.0,1
4065.0,1
4067.0,1
4068.0,1
4132.0,67
4186.0,1
4211.0,1
4227.0,1
4244.0,4
4246.0,1
4250.0,10
4266.0,9
4320.0,1
4342.0,1
4357.0,3
4364.0,1
4365.0,5
4380.0,1
4391.0,1
4405.0,1
4411.0,1
4413.0,1
4432.0,6
4442.0,2
4525.0,5
4527.0,3
4549.0,1
4711.0,1
4736.0,3
4789.0,8
4874.0,8
4875.0,3
4902.0,13
5000.0,1
5002.0,7
5031.0,1
5048.0,1
5055.0,1
5058.0,8
5069.0,3
5073.0,5
5085.0,1
5101.0,1
5109.0,2
5123.0,3
5127.0,2
5150.0,1
5201.0,1
5252.0,1
5281.0,1
5292.0,1
5293.0,1
5295.0,5
5333.0,1
5335.0,188
5341.0,3
5355.0,1
5374.0,1
5379.0,4
5380.0,6
5382.0,9
5389.0,8
5397.0,6
5401.0,2
5403.0,1
5404.0,8
5412.0,1
5413.0,2
5416.0,1
5417.0,38
5421.0,10
5424.0,3
5425.0,2
5428.0,10
5430.0,9
5434.0,1
5440.0,1
5441.0,4
5442.0,1
5448.0,9
5449.0,2
5452.0,1
5459.0,1
5461.0,1
5492.0,7
5502.0,1
5505.0,1
5526.0,30
5529.0,1
5530.0,2
5532.0,4
5538.0,7
5550.0,1
5564.0,35
5569.0,8
5578.0,6
5581.0,13
5582.0,3
5586.0,2
5588.0,3
5606.0,1
5616.0,2
5619.0,9
5622.0,2
5632.0,6
5645.0,2
5646.0,3
5653.0,4
5659.0,2
5665.0,2
5674.0,5
5689.0,1
5694.0,1
5708.0,1
5709.0,1
5722.0,1
5751.0,3
5753.0,3
5755.0,1
5757.0,1
5768.0,1
5776.0,2
5799.0,1
5800.0,72
5801.0,13
5804.0,14
5814.0,253
5818.0,44
5822.0,5
5827.0,2
5828.0,3
5829.0,1
5831.0,3
5834.0,1
5836.0,1
5837.0,1
5843.0,1
5850.0,1
5852.0,14
5854.0,28
5855.0,1
5856.0,43
5859.0,13
5862.0,4
5868.0,268
5869.0,2
5872.0,2
5874.0,241
5875.0,3
5876.0,2
5880.0,1
5881.0,1
5883.0,8
5884.0,2
5885.0,63
5887.0,23
5888.0,8
5890.0,7
5891.0,5
5893.0,4
5895.0,1
5898.0,315
5901.0,1
5906.0,1
5909.0,1
5920.0,101
5923.0,2
5924.0,1
5925.0,9
5929.0,1
5930.0,17
5931.0,1
5934.0,1
5936.0,7
5941.0,6
5943.0,406
5944.0,1
5945.0,3
5947.0,333
5948.0,4
5949.0,9
5957.0,1
5959.0,24
5961.0,1
5962.0,36
5965.0,1
5968.0,8
5969.0,9
5974.0,21
5979.0,2
5985.0,5
5989.0,2
5990.0,1
5991.0,7
5992.0,1
5993.0,3
5994.0,15
5995.0,2
5996.0,15
5997.0,1
5998.0,1
5999.0,13
6000.0,4
6001.0,3
6002.0,1
6003.0,1
6007.0,4
6009.0,6
6010.0,8
6011.0,1
6013.0,2
6014.0,379
6015.0,35
6016.0,1
6017.0,3
6018.0,2
6019.0,1
6020.0,44
6021.0,5
6023.0,2
6025.0,9
6026.0,3
6028.0,2
6029.0,1
6032.0,6
6036.0,4
6038.0,1
6039.0,3
6041.0,4
6042.0,6
6047.0,9
6081.0,25
6085.0,2
6106.0,46
6110.0,202
6111.0,86
6136.0,1
6139.0,618
6165.0,1
6180.0,13
6183.0,12
6184.0,498
6185.0,80
6186.0,1
6188.0,1
6189.0,178
6190.0,2
6193.0,2
6208.0,2
6227.0,40
6231.0,1
6241.0,2
6257.0,1
6262.0,5
6280.0,6
6284.0,1
6287.0,1
6300.0,1
6302.0,3
6319.0,1
6320.0,1
6326.0,27
6345.0,2
6351.0,2
6411.0,661
6412.0,1
