catcher_id,pitchers_counts,apply_mode
0,617,1
92,17640,1
99,67,1
124,3,1
126,2,1
128,1,1
129,1,1
138,4,1
97,2,1
148,4,1
220,30,1
232,88,1
197,34,1
225,715,1
219,223,1
224,905,1
233,189,1
226,512,1
195,90,1
230,602,1
228,6,1
227,214,1
223,1620,1
231,2302,1
207,85,1
229,777,1
234,522,1
214,11,1
211,29,1
242,10,1
204,31,1
191,3,1
218,3,1
252,4,1
221,6,1
198,134,1
200,14,1
202,37,1
201,21,1
213,1,1
240,12,1
217,3,1
210,11,1
216,3,1
289,75,1
261,80,1
291,1948,1
293,742,1
194,38,1
300,891,1
292,70,1
301,169,1
302,477,1
304,6,1
286,7,1
317,170,1
367,102,1
365,28,1
374,22,1
385,1,1
426,42,1
446,794,1
327,643,1
469,2,1
370,1,1
404,2,1
478,5,1
521,4,1
490,2,1
203,1,1
407,16,1
539,19,1
534,2,1
550,2,1
536,6,1
564,56,1
425,1,1
557,17,1
543,3,1
537,11,1
589,1,1
577,17,1
538,13,1
613,7,1
618,1,1
624,2,1
558,8,1
639,1,1
209,13,1
576,1,1
0,617,0
446,794,0
542,16,0
407,16,0
365,28,0
426,42,0
557,17,0
367,102,0
454,32,0
198,134,0
672,1,0
538,13,0
624,2,0
622,5,0
679,1,0
666,13,0
537,11,0
241,20,0
677,10,0
212,13,0
540,5,0
211,29,0
209,13,0
684,7,0
663,2,0
577,17,0
629,4,0
695,1,0
564,56,0
662,7,0
558,8,0
629,4,1
665,2,0
539,19,0
369,2,0
676,1,1
726,1,0
720,16,0
718,15,1
714,12,0
712,24,1
712,24,0
723,22,1
96,3,0
719,158,0
715,2,0
718,15,0
711,2,0
717,2,0
223,1620,0
692,3,0
692,3,1
487,7,0
723,22,0
713,6,0
752,11,0
770,5,0
791,2,0
716,9,0
289,75,0
207,85,0
747,7,0
721,8,0
722,45,0
781,2,1
716,9,1
800,2,0
746,26,2
746,26,1
746,26,0
899,1,1
903,1,1
904,1,1
905,2,1
872,7,1
908,79,1
908,79,2
872,7,0
908,79,0
910,3,1
920,5,1
922,21,1
924,1663,1
925,9,2
924,1663,2
0,617,2
930,2,0
930,2,1
933,6,0
929,2,0
925,9,0
933,6,1
935,3,1
926,2,2
936,1,1
937,5,1
934,1,1
940,1,0
943,7,1
407,16,2
924,1663,0
92,17640,0
928,9,1
928,9,2
984,17,1
984,17,2
991,11,2
987,4,1
925,9,1
987,4,0
1013,23,1
1013,23,2
991,11,1
927,14,1
1009,8,1
1033,6,0
1033,6,1
1023,2,1
1038,2,0
1026,3,1
1049,3,0
1050,1,1
1047,1,0
1045,1,0
991,11,0
1049,3,1
1048,2,0
1048,2,1
1040,3,1
920,5,0
926,2,1
1057,2,1
1059,1,1
1058,1,0
1217,22,2
1090,6,1
1090,6,0
1209,277,1
1148,1,0
1209,277,2
1222,2,1
1222,2,0
1209,277,0
1220,12,0
1228,1,0
1233,2,1
1235,29,1
1235,29,2
1237,1,1
1241,1,1
1254,6,1
1268,9,1
1269,5,1
1271,8,1
1273,22,1
1278,2,0
1220,12,1
1278,2,1
1268,9,0
1215,3,1
1307,1,1
151,4,1
1372,249,1
1395,2,0
1396,1,0
1395,2,1
1430,7,1
1449,2,1
1412,145,1
1410,2,1
1347,15,1
1486,1,1
1404,6,1
1520,80,1
1520,80,0
1525,40,1
1521,4,1
1402,1,1
1521,4,0
1538,2,1
1407,1,1
