catcher_id,pre_rec_interviews_counts
0,14
51,15
92,3
127,28
141,2
151,4
195,1
207,1
211,2
219,2
243,1
286,2
289,2
327,30
367,1
404,1
407,3
426,1
446,677
478,2
577,1
613,2
629,1
669,40
676,1
677,1
692,7
712,18
716,2
718,1
719,1
723,9
746,14
765,4
776,1
781,2
800,1
832,222
872,5
873,1
899,1
903,1
904,1
905,2
907,2
908,44
910,3
920,1
922,22
924,1719
925,4
927,10
928,21
930,1
931,1
933,4
934,3
935,3
936,1
937,5
942,9
943,3
944,4
946,1
949,1
950,2
984,11
985,2
987,3
991,4
992,2
993,3
995,1
1000,4
1009,9
1013,18
1016,4
1023,2
1026,3
1033,5
1040,4
1043,2
1048,1
1049,2
1050,1
1055,1
1057,1
1059,1
1090,1
1129,2
1209,227
1215,3
1217,28
1219,2
1220,11
1223,3
1233,2
1235,24
1237,1
1241,1
1254,7
1262,2
1269,5
1271,8
1272,1
1273,19
1274,3
1278,1
1307,1
1328,7
1347,15
1369,11
1371,151
1372,112
1374,10
1395,1
1402,1
1404,4
1407,1
1410,2
1412,131
1430,7
1449,2
1486,1
1487,5
1515,2
1518,2
1520,61
1521,5
1523,9
1524,1
1525,42
1532,2
1534,1
1537,1
1547,7
1548,7
1549,15
1551,3
1552,3
1553,17
1554,1
1563,2
1564,8
1566,9
1570,1
1573,1
1574,1
1576,2
1582,7
1584,10
1587,4
1588,1
1590,1
1591,5
1592,7
1593,3
1598,17
1599,65
1600,1
1601,1
1602,4
1607,6
1608,11
1622,3
1625,4
1626,7
1627,6
1629,1
1631,1
1633,6
1634,1
1636,2
1637,2
1648,3
1650,3
1651,1
1652,5
1654,1
1655,3
1656,2
1657,9
1658,1
1670,3
1674,2
1683,4
1684,10
1687,2
1690,2
1692,436
1696,39
1697,8
1698,2
1700,1
1702,1
1706,3
1708,1
1710,10
1712,1
1714,9
1722,1
1724,5
1725,1
1726,4
1730,16
1748,10
1766,2
1769,9
1772,2
1774,1
1798,1
1802,3
1828,45
1829,3
1839,279
1840,1
1852,2
1856,2
1870,1
1873,604
1874,4
1875,2
1891,2
1894,1
1909,1
1914,1
1918,3
1925,35
1940,8
1944,1
2009,1
2012,1
2013,2
2017,9
2018,2
2021,44
2022,13
2025,6
2031,1
2045,3
2046,56
2048,3
2052,5
2055,1
2058,3
2111,1
2133,15
2143,3
2144,1
2146,2
2149,1
2151,1
2153,2
2155,76
2157,1
2168,1
2169,517
2183,20
2187,4
2190,1
2196,10
2216,4
2218,2
2233,3
2247,1
2251,4
2255,1
2266,3
2274,66
2276,34
2277,9
2295,1
2304,2
2312,3
2326,3
2328,1
2334,614
2335,860
2365,7
2409,1
2412,38
2414,1
2445,1
2451,123
2452,4
2453,7
2456,1
2463,2
2488,1
2523,1
2525,2
2534,11
2549,4
2569,1
2570,2
2590,1
2625,4
2626,3
2627,3
2628,2
2634,7
2635,1
2639,1
2672,4
2673,174
2676,15
2683,1
2685,2
2688,6
2689,1
2695,1
2699,1
2702,1
2727,3
2734,1
2760,16
2799,1
2802,114
2803,25
2827,1
2830,1
2832,3
2833,1
2840,3
2843,1
2850,6
2868,3
2870,1
2871,1
2874,12
2876,2
2882,1
2889,11
2893,3
2895,1
2897,1
2917,2
2919,2
2923,1
2926,2
2957,40
2995,1
3002,1
3012,2
3064,1
3076,1
3155,1
3156,1
3158,1
3159,1
3160,1
3161,1
3171,1
3176,1
3177,1
3206,3
3225,1
3238,1
3264,1
3265,1
3280,2
3291,1
3293,1
3303,1
3305,2
3334,1
3394,1
3417,1
3477,1
3499,2
3502,1
3510,1
3511,1
3584,2
3633,1
3635,3
3678,215
3679,7
3724,9
3784,1
3861,4
3881,2
3897,1
3908,1
4065,1
4067,1
4068,1
4132,46
4186,1
4244,2
4246,1
4250,10
4266,9
4320,1
4342,1
4357,2
4364,1
4365,8
4380,1
4391,1
4411,1
4413,1
4432,4
4442,2
4525,4
4527,2
4549,1
4711,1
4736,3
4789,6
4874,13
4875,3
4902,11
5000,1
5002,5
5031,1
5048,1
5055,1
5058,14
5073,4
5085,1
5101,1
5109,2
5127,2
5150,1
5201,1
5252,1
5291,1
5292,1
5293,1
5295,5
5333,1
5335,203
5341,3
5355,1
5374,1
5379,4
5380,6
5382,9
5389,8
5397,6
5401,2
5403,1
5404,8
5413,2
5416,1
5417,38
5421,11
5424,3
5425,2
5428,10
5430,9
5434,1
5440,1
5441,4
5442,1
5448,9
5449,2
5452,1
5459,1
5461,1
5492,7
5502,1
5505,1
5526,32
5529,1
5530,2
5532,4
5538,7
5550,1
5564,37
5569,7
5578,6
5581,15
5582,2
5586,3
5588,3
5606,1
5616,2
5619,10
5622,2
5632,6
5645,2
5646,3
5653,4
5665,2
5674,5
5689,1
5694,1
5708,1
5709,1
5722,2
5751,3
5753,3
5757,1
5768,1
5776,2
5799,1
5800,153
5801,19
5804,33
5814,396
5818,67
5822,8
5827,2
5828,10
5829,2
5831,3
5834,1
