catcher_id,pre_recorded_kit_counts
0,17
1,96
92,2
151,1
207,1
209,1
211,1
223,24
289,59
367,1
404,1
407,3
426,1
446,24
487,2
557,2
563,1
564,8
577,1
629,12
676,2
677,1
679,2
686,1
692,12
695,2
696,1
712,57
713,1
716,48
718,23
719,1
721,11
723,145
746,9
763,4
766,1
781,2
798,1
800,1
814,1
824,1
825,2
832,2
872,1
899,1
903,1
904,1
905,1
908,44
910,2
918,2
922,5
925,6
926,3
927,2
930,1
933,1
934,1
935,1
936,1
937,1
939,2
940,1
943,2
956,3
984,2
987,1
1009,8
1013,2
1023,2
1026,3
1033,4
1040,4
1048,1
1049,3
1050,1
1057,1
1059,1
1090,1
1179,1
1183,1
1184,4
1191,1
1197,1
1209,69
1215,1
1220,2
1222,1
1233,2
1234,1
1235,9
1237,3
1240,2
1241,1
1254,5
1257,2
1268,2
1269,4
1271,4
1273,5
1278,1
1289,1
1292,1
1305,1
1307,1
1308,1
1316,2
1347,35
1369,1
1371,106
1372,36
1374,4
1395,1
1402,2
1404,1
1406,1
1407,1
1410,7
1412,61
1430,2
1438,1
1449,1
1487,1
1520,7
1523,1
1525,7
1547,2
1577,1
1582,1
1584,5
1587,4
1588,1
1590,1
1592,5
1593,2
1598,2
1599,23
1600,1
1602,3
1607,2
1608,4
1622,1
1626,1
1627,2
1629,1
1633,1
1636,3
1637,2
1655,1
1657,2
1658,1
1660,1
1662,1
1670,1
1680,1
1683,2
1684,2
1687,1
1690,3
1692,85
1696,5
1697,1
1700,1
1702,1
1706,1
1710,3
1715,1
1722,1
1724,2
1725,1
1726,1
1730,37
1742,1
1745,2
1748,1
1766,2
1767,1
1769,8
1772,6
1774,8
1777,1
1785,1
1787,1
1796,1
1802,2
1828,11
1839,151
1852,1
1856,2
1859,10
1870,1
1873,297
1878,1
1889,1
1891,1
1925,1
1940,1
2021,1
2022,1
2046,34
2133,5
2153,5
2155,29
2157,1
2168,2
2169,131
2183,5
2187,2
2190,1
2194,1
2196,8
2216,1
2218,1
2247,2
2251,13
2255,1
2266,35
2269,1
2270,1
2274,16
2276,4
2277,3
2295,3
2304,1
2312,1
2326,1
2334,50
2335,172
2347,1
2365,1
2394,1
2409,1
2412,5
2414,1
2416,1
2445,1
2451,15
2452,1
2453,4
2456,1
2463,1
2480,1
2483,1
2498,1
2523,1
2525,1
2534,1
2551,1
2554,1
2569,1
2570,1
2588,1
2590,1
2604,2
2625,2
2627,3
2628,1
2633,1
2634,6
2635,1
2639,1
2644,1
2645,1
2672,1
2678,1
2683,2
2685,3
2688,11
2689,2
2702,1
2727,1
2733,1
2734,1
2741,2
2760,5
2763,1
2802,8
2803,6
2811,1
2827,1
2830,1
2832,2
2833,1
2835,1
2840,1
2850,1
2857,1
2858,1
2863,1
2867,1
2868,1
2870,1
2871,1
2874,4
2876,1
2893,1
2897,1
2917,1
2926,1
2957,8
2984,4
3002,1
3012,2
3064,2
3070,1
3076,2
