catcher_id,jobma_catcher_status,jobma_catcher_type,subscription_status,subscription_type,referral_credit,is_premium,sub_user,company_size,per_sub_user,number_of_logins,jobma_login_status,days_since_login,wallet_sum,plan_type,is_unlimited,subscription_sum,subscription_count,currency,premium_plan_id,pre_recorded_kit_counts,number_of_jobs_posted,number_of_invitations,number_of_pitcher_applied,pre_rec_interviews_counts,live_interviews_counts,ai_kit_counts,ai_interviews_counts
92,1,1,2,0,0,1,999,1-25,100.0,1.0,1.0,401.0,37.0,0.0,0.0,199.0,2.0,0,3.0,2.0,825.0,7.0,17640.0,3.0,2.0,0.0,0.0
106,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
125,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
127,1,0,2,0,0,1,999,1-25,100.0,1.0,0.0,2822.0,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
128,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
129,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
130,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
132,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
138,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
143,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
151,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1610.0,11107.0,0.0,0.0,199.0,2.0,0,3.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0
159,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0
256,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
