catcher_id,credit_amount,wallet_amount,subscription_type,plan_type,is_unlimited,premium_storage,trial_account_type,billing_cycle_status,created_at,updated_at,sub_user_id,subscription_id,premium_plan_id,premium_plan,subscription_amount,credit_given,expiry_date,currency,currency_val,payment_mode,status,payment_status
92,,34.0,0,0,0,0,0.0,0,2017-11-03 12:10:27,2020-02-20 07:10:00,,1,3.0,"{""subscription_charges"": ""10000"", ""pre_recorded_interviews"": ""-1"", ""chat_support"": ""2"", ""storage"": ""500"",
  ""email_template_customization"": ""1"", ""interview_branding"": ""1"", ""candidate_evaluation_page_branding"": ""1"", ""interview_insight"": ""Deep Level"", ""live_interviews"": ""1"", ""live_interview_recording"": ""1"", ""panel_interview"": ""1"", ""phone_interview"": ""1"", ""interview_types"": ""1"", ""sub_accounts"": ""-1"", ""smtp_setting"": ""1"", ""bulk_invitation"": ""100"", ""auto_reminder"": ""1"", ""third_party_ats_integrations"": ""1"", ""email_calendar_integration"": ""1"", ""social_media_integrations"": ""1"", ""sms"": ""1"", ""job_posting"": ""-1""}",0.0,0,2023-05-22,0,1.0,1,0,0
92,,34.0,0,0,0,0,0.0,0,2017-11-03 12:10:27,2020-02-20 07:10:00,,1,3.0,"{""subscription_charges"":""10000"",""pre_recorded_interviews"":""-1"",""chat_support"":""2"",""storage"":""500"",""email_template_customization"":""1"",""interview_branding"":""1"",""candidate_evaluation_page_branding"":""1"",""interview_insight"":""Deep Level"",""live_interviews"":""1"",""live_interview_recording"":""1"",""panel_interview"":""1"",""phone_interview"":""1"",""interview_types"":""1"",""sub_accounts"":""-1"",""smtp_setting"":""1"",""bulk_invitation"":""100"",""auto_reminder"":""1"",""third_party_ats_integrations"":""1"",""email_calendar_integration"":""1"",""social_media_integrations"":""1"",""sms"":""1"",""job_posting"":""-1"",""referral"":""0""}",199.0,0,2022-08-12,0,1.0,1,1,1
898,,0.0,0,0,0,0,,0,2017-11-03 04:36:27,2017-11-03 04:36:27,,1,3.0,"{""subscription_charges"":""10000"",""pre_recorded_interviews"":""-1"",""chat_support"":""2"",""storage"":""500"",""email_template_customization"":""1"",""interview_branding"":""1"",""candidate_evaluation_page_branding"":""1"",""interview_insight"":""Deep Level"",""live_interviews"":""1"",""live_interview_recording"":""1"",""panel_interview"":""1"",""phone_interview"":""1"",""interview_types"":""1"",""sub_accounts"":""-1"",""smtp_setting"":""1"",""bulk_invitation"":""100"",""auto_reminder"":""1"",""third_party_ats_integrations"":""1"",""email_calendar_integration"":""1"",""social_media_integrations"":""1"",""sms"":""1"",""job_posting"":""-1"",""theme"":""3"",""ai_features"":""0"",""live_proctoring"":""0"",""referral"":""0""}",0.0,0,2023-05-22,0,1.0,1,1,0
92,,3.0,0,0,0,0,0.0,0,2017-11-03 14:08:57,2020-02-20 07:10:00,,1,3.0,"{""subscription_charges"": ""10000"", ""pre_recorded_interviews"": ""-1"", ""chat_support"": ""2"", ""storage"": ""500"",
  ""email_template_customization"": ""1"", ""interview_branding"": ""1"", ""candidate_evaluation_page_branding"": ""1"", ""interview_insight"": ""Deep Level"", ""live_interviews"": ""1"", ""live_interview_recording"": ""1"", ""panel_interview"": ""1"", ""phone_interview"": ""1"", ""interview_types"": ""1"", ""sub_accounts"": ""-1"", ""smtp_setting"": ""1"", ""bulk_invitation"": ""100"", ""auto_reminder"": ""1"", ""third_party_ats_integrations"": ""1"", ""email_calendar_integration"": ""1"", ""social_media_integrations"": ""1"", ""sms"": ""1"", ""job_posting"": ""-1""}",0.0,0,2023-05-22,0,1.0,1,0,0
92,,3.0,0,0,0,0,0.0,0,2017-11-03 14:08:57,2020-02-20 07:10:00,,1,3.0,"{""subscription_charges"":""10000"",""pre_recorded_interviews"":""-1"",""chat_support"":""2"",""storage"":""500"",""email_template_customization"":""1"",""interview_branding"":""1"",""candidate_evaluation_page_branding"":""1"",""interview_insight"":""Deep Level"",""live_interviews"":""1"",""live_interview_recording"":""1"",""panel_interview"":""1"",""phone_interview"":""1"",""interview_types"":""1"",""sub_accounts"":""-1"",""smtp_setting"":""1"",""bulk_invitation"":""100"",""auto_reminder"":""1"",""third_party_ats_integrations"":""1"",""email_calendar_integration"":""1"",""social_media_integrations"":""1"",""sms"":""1"",""job_posting"":""-1"",""referral"":""0""}",199.0,0,2022-08-12,0,1.0,1,1,1
898,,0.0,0,0,0,0,,0,2017-11-03 14:08:57,2017-11-03 14:08:57,,1,3.0,"{""subscription_charges"":""10000"",""pre_recorded_interviews"":""-1"",""chat_support"":""2"",""storage"":""500"",""email_template_customization"":""1"",""interview_branding"":""1"",""candidate_evaluation_page_branding"":""1"",""interview_insight"":""Deep Level"",""live_interviews"":""1"",""live_interview_recording"":""1"",""panel_interview"":""1"",""phone_interview"":""1"",""interview_types"":""1"",""sub_accounts"":""-1"",""smtp_setting"":""1"",""bulk_invitation"":""100"",""auto_reminder"":""1"",""third_party_ats_integrations"":""1"",""email_calendar_integration"":""1"",""social_media_integrations"":""1"",""sms"":""1"",""job_posting"":""-1"",""theme"":""3"",""ai_features"":""0"",""live_proctoring"":""0"",""referral"":""0""}",0.0,0,2023-05-22,0,1.0,1,1,0
106,,0.0,0,0,0,0,,0,2017-11-03 14:08:57,2017-11-03 14:08:57,,1,3.0,"{""subscription_charges"":""10000"",""pre_recorded_interviews"":""-1"",""chat_support"":""2"",""storage"":""500"",""email_template_customization"":""1"",""interview_branding"":""1"",""candidate_evaluation_page_branding"":""1"",""interview_insight"":""Deep Level"",""live_interviews"":""1"",""live_interview_recording"":""1"",""panel_interview"":""1"",""phone_interview"":""1"",""interview_types"":""1"",""sub_accounts"":""-1"",""smtp_setting"":""1"",""bulk_invitation"":""100"",""auto_reminder"":""1"",""third_party_ats_integrations"":""1"",""email_calendar_integration"":""1"",""social_media_integrations"":""1"",""sms"":""1"",""job_posting"":""-1"",""theme"":""3"",""ai_features"":""0"",""live_proctoring"":""0"",""referral"":""0""}",0.0,0,2023-05-22,0,1.0,1,1,0
124,,0.0,0,0,0,0,,0,2017-11-03 14:08:57,2017-11-03 14:08:57,,1,3.0,"{""subscription_charges"":""10000"",""pre_recorded_interviews"":""-1"",""chat_support"":""2"",""storage"":""500"",""email_template_customization"":""1"",""interview_branding"":""1"",""candidate_evaluation_page_branding"":""1"",""interview_insight"":""Deep Level"",""live_interviews"":""1"",""live_interview_recording"":""1"",""panel_interview"":""1"",""phone_interview"":""1"",""interview_types"":""1"",""sub_accounts"":""-1"",""smtp_setting"":""1"",""bulk_invitation"":""100"",""auto_reminder"":""1"",""third_party_ats_integrations"":""1"",""email_calendar_integration"":""1"",""social_media_integrations"":""1"",""sms"":""1"",""job_posting"":""-1"",""theme"":""3"",""ai_features"":""0"",""live_proctoring"":""0"",""referral"":""0""}",0.0,0,2023-05-22,0,1.0,1,1,0
125,,0.0,0,0,0,0,,0,2017-11-03 14:08:57,2017-11-03 14:08:57,,1,3.0,"{""subscription_charges"":""10000"",""pre_recorded_interviews"":""-1"",""chat_support"":""2"",""storage"":""500"",""email_template_customization"":""1"",""interview_branding"":""1"",""candidate_evaluation_page_branding"":""1"",""interview_insight"":""Deep Level"",""live_interviews"":""1"",""live_interview_recording"":""1"",""panel_interview"":""1"",""phone_interview"":""1"",""interview_types"":""1"",""sub_accounts"":""-1"",""smtp_setting"":""1"",""bulk_invitation"":""100"",""auto_reminder"":""1"",""third_party_ats_integrations"":""1"",""email_calendar_integration"":""1"",""social_media_integrations"":""1"",""sms"":""1"",""job_posting"":""-1"",""theme"":""3"",""ai_features"":""0"",""live_proctoring"":""0"",""referral"":""0""}",0.0,0,2023-05-22,0,1.0,1,1,0
126,,0.0,0,0,0,0,,0,2017-11-03 14:08:57,2017-11-03 14:08:57,,1,3.0,"{""subscription_charges"":""10000"",""pre_recorded_interviews"":""-1"",""chat_support"":""2"",""storage"":""500"",""email_template_customization"":""1"",""interview_branding"":""1"",""candidate_evaluation_page_branding"":""1"",""interview_insight"":""Deep Level"",""live_interviews"":""1"",""live_interview_recording"":""1"",""panel_interview"":""1"",""phone_interview"":""1"",""interview_types"":""1"",""sub_accounts"":""-1"",""smtp_setting"":""1"",""bulk_invitation"":""100"",""auto_reminder"":""1"",""third_party_ats_integrations"":""1"",""email_calendar_integration"":""1"",""social_media_integrations"":""1"",""sms"":""1"",""job_posting"":""-1"",""theme"":""3"",""ai_features"":""0"",""live_proctoring"":""0"",""referral"":""0""}",0.0,0,2023-05-22,0,1.0,1,1,0
